Title,Category,Release date,Ratings,Metascore,Page URL
Anatomy of Hell,movie,"SEP 24, 2004",Unrated,29,https://www.metacritic.com/movie/anatomy-of-hell/
The Aryan Couple,movie,"DEC 3, 2004",PG-13,29,https://www.metacritic.com/movie/the-aryan-couple/
Diana: The Musical,movie,"OCT 1, 2021",PG-13,29,https://www.metacritic.com/movie/diana-the-musical/
Hot Pursuit,movie,"MAY 8, 1987",PG-13,29,https://www.metacritic.com/movie/hot-pursuit-1987/
"Literally, Right Before Aaron",movie,"SEP 29, 2017",TV-14,28,https://www.metacritic.com/movie/literally-right-before-aaron/
You Again,movie,"SEP 24, 2010",PG,28,https://www.metacritic.com/movie/you-again/
Wildflowers,movie,"SEP 1, 2000",R,28,https://www.metacritic.com/movie/wildflowers/
Waking Up in Reno,movie,"OCT 25, 2002",R,28,https://www.metacritic.com/movie/waking-up-in-reno/
I Am Sam,movie,"DEC 28, 2001",PG-13,28,https://www.metacritic.com/movie/i-am-sam/
Stigmata,movie,"SEP 10, 1999",R,28,https://www.metacritic.com/movie/stigmata/
The Crash,movie,"JAN 13, 2017",R,28,https://www.metacritic.com/movie/the-crash/
Hitman: Agent 47,movie,"AUG 21, 2015",R,28,https://www.metacritic.com/movie/hitman-agent-47/
The Colony,movie,"SEP 20, 2013",Not Rated,28,https://www.metacritic.com/movie/the-colony/
Halloween 5: The Revenge of Michael Myers,movie,"OCT 13, 1989",R,28,https://www.metacritic.com/movie/halloween-5-the-revenge-of-michael-myers/
 Infinite,movie,"JUN 10, 2021",PG-13,28,https://www.metacritic.com/movie/infinite/
Zeroville,movie,"SEP 20, 2019",R,28,https://www.metacritic.com/movie/zeroville/
The Unspoken,movie,"OCT 28, 2016",Unrated,28,https://www.metacritic.com/movie/the-unspoken/
Bunraku,movie,"SEP 30, 2011",R,28,https://www.metacritic.com/movie/bunraku/
The Other Sister,movie,"FEB 26, 1999",PG-13,28,https://www.metacritic.com/movie/the-other-sister/
Return to the Blue Lagoon,movie,"AUG 2, 1991",PG-13,28,https://www.metacritic.com/movie/return-to-the-blue-lagoon/
A Good Day to Die Hard,movie,"FEB 14, 2013",R,28,https://www.metacritic.com/movie/a-good-day-to-die-hard/
Hick,movie,"MAY 11, 2012",R,28,https://www.metacritic.com/movie/hick/
Ghost Ship,movie,"OCT 25, 2002",R,28,https://www.metacritic.com/movie/ghost-ship/
The Death and Life of John F. Donovan,movie,"DEC 13, 2019",R,28,https://www.metacritic.com/movie/the-death-and-life-of-john-f-donovan/
Love and Honor,movie,"MAR 22, 2013",PG-13,28,https://www.metacritic.com/movie/love-and-honor/
Even Cowgirls Get the Blues,movie,"MAY 24, 1994",R,28,https://www.metacritic.com/movie/even-cowgirls-get-the-blues/
Nobel Son,movie,"DEC 5, 2008",R,28,https://www.metacritic.com/movie/nobel-son/
Inside Out,movie,"SEP 9, 2011",PG-13,28,https://www.metacritic.com/movie/inside-out/
Howard the Duck,movie,"AUG 1, 1986",PG,28,https://www.metacritic.com/movie/howard-the-duck/
Whiteout,movie,"SEP 11, 2009",R,28,https://www.metacritic.com/movie/whiteout/
47 Ronin,movie,"DEC 25, 2013",PG-13,28,https://www.metacritic.com/movie/47-ronin/
If I Were You,movie,"MAR 15, 2013",R,28,https://www.metacritic.com/movie/if-i-were-you/
London Has Fallen,movie,"MAR 4, 2016",R,28,https://www.metacritic.com/movie/london-has-fallen/
Mother Schmuckers,movie,"MAR 4, 2022",N/A,28,https://www.metacritic.com/movie/mother-schmuckers/
Revenge of the Nerds II: Nerds in Paradise,movie,"JUL 10, 1987",PG-13,28,https://www.metacritic.com/movie/revenge-of-the-nerds-ii-nerds-in-paradise/
Graveyard Shift,movie,"OCT 26, 1990",R,28,https://www.metacritic.com/movie/graveyard-shift/
6 Souls,movie,"APR 5, 2013",R,28,https://www.metacritic.com/movie/6-souls/
Passion of Mind,movie,"MAY 26, 2000",PG-13,28,https://www.metacritic.com/movie/passion-of-mind/
 Third World Cop,movie,"APR 14, 2000",R,28,https://www.metacritic.com/movie/third-world-cop/
Adored,movie,"APR 2, 2004",Unrated,28,https://www.metacritic.com/movie/adored/
The Amityville Horror,movie,"JUL 27, 1979",R,28,https://www.metacritic.com/movie/the-amityville-horror-1979/
